epoch_time,id,date_time,keyword,page
142397750489,4fd39d928eb7c8105d8df25e,2010-11-12T18:34:39Z,"budget deficit",6
142397750490,4fd173ac8eb7c8105d6682ef,1987-01-06T00:00:00Z,"budget deficit",6
142397750492,4fc4197945c1498b0d911777,1963-06-03T00:00:00Z,"budget deficit",6
142397750493,4fd1655c8eb7c8105d652502,1986-07-19T00:00:00Z,"budget deficit",6
142397750494,4fd184518eb7c8105d6830c3,1989-07-16T00:00:00Z,"budget deficit",6
142397750495,4fd17e238eb7c8105d678ab2,1988-12-02T00:00:00Z,"budget deficit",6
142397750496,4fd1970b8eb7c8105d6a4c09,1990-10-09T00:00:00Z,"budget deficit",6
142397750497,4fd18d958eb7c8105d69228e,1989-07-27T00:00:00Z,"budget deficit",6
142397750498,54008f8a798810254dbb96cd,2011-09-02T00:00:00Z,"budget deficit",6
142397751534,54b9b42e7988105027ba22c4,2015-01-17T00:00:00Z,"budget deficit",7
142397751535,548e508779881018ac4ba109,2007-01-28T00:00:00Z,"budget deficit",7
142397751536,54b08d937988100e21965a25,2006-08-03T00:00:00Z,"budget deficit",7
142397751537,540b4a197988105a10ca7ff3,2011-03-02T00:00:00Z,"budget deficit",7
142397751538,5420f4aa7988104c4a501ce6,2010-11-28T00:00:00Z,"budget deficit",7
142397751538,5420d7347988104c4a501a5d,2010-11-21T00:00:00Z,"budget deficit",7
142397751539,540fdf12798810138774a2b3,2011-03-02T00:00:00Z,"budget deficit",7
142397751540,54aac60b7988106d7446cebe,2015-01-05T12:11:00Z,"budget deficit",7
142397751541,545c0cb379881039320ed1e9,2006-06-05T00:00:00Z,"budget deficit",7
142397751542,5411b8387988106b6abec0fc,2011-08-28T00:00:00Z,"budget deficit",7
142397752605,515b5741fdc59278db00871a,2012-05-23T00:00:00Z,"budget deficit",8
142397752606,54cfa65179881002ee7b49aa,2015-02-03T00:00:00Z,"budget deficit",8
142397752607,540362487988105a0bd3f432,2011-11-20T00:00:00Z,"budget deficit",8
142397752608,546f8c5d79881031a977ed5a,2014-11-22T00:00:00Z,"budget deficit",8
142397752608,54ae81107988105cf6096062,2006-07-16T00:00:00Z,"budget deficit",8
142397752609,4fd18eeb8eb7c8105d694914,1988-02-21T00:00:00Z,"budget deficit",8
142397752610,515b8754fdc59278db00bef9,2011-11-24T00:00:00Z,"budget deficit",8
142397752611,5400c0d779881068a1947940,2011-09-08T00:00:00Z,"budget deficit",8
142397752612,515b8808fdc59278db00bfbc,2011-11-22T00:00:00Z,"budget deficit",8
142397752613,5398e4a17988101c1f00b60c,2014-06-12T00:00:00Z,"budget deficit",8
142397753666,4fd1af438eb7c8105d6cf942,1990-06-03T00:00:00Z,"budget deficit",9
142397753667,5492b73379881005eed9d4b9,2014-12-18T06:13:43Z,"budget deficit",9
142397753668,54119db479881060c5af956b,2011-08-23T00:00:00Z,"budget deficit",9
142397753669,548b8c2679881004157bba3c,2007-06-20T00:00:00Z,"budget deficit",9
142397753670,53f8d68479881001aab769b6,2012-07-16T20:55:00Z,"budget deficit",9
142397753671,54ae5d6a7988105cf6095bab,2006-07-11T00:00:00Z,"budget deficit",9
142397753672,545c0f2c79881039320ed225,2006-12-22T00:00:00Z,"budget deficit",9
142397753672,4fd292e78eb7c8105d86c6ee,2011-11-13T00:00:00Z,"budget deficit",9
142397753673,548688f17988101981f9f023,2014-12-09T00:00:00Z,"budget deficit",9
142397753674,54b16e8f798810617c69951e,2015-01-11T00:00:00Z,"budget deficit",9
142397754741,515b880cfdc59278db00bfc2,2011-11-22T00:00:00Z,"budget deficit",10
142397754742,5135f3eacf28d009de003814,2013-03-05T06:00:15Z,"budget deficit",10
142397754746,4fd2a3868eb7c8105d889730,2011-11-21T00:00:00Z,"budget deficit",10
142397754749,515b9196fdc59278db00cb6e,2011-10-19T00:00:00Z,"budget deficit",10
142397754751,515b63d9fdc59278db009642,2012-04-04T00:00:00Z,"budget deficit",10
142397754754,5436de9979881057847f98aa,2010-01-19T00:00:00Z,"budget deficit",10
142397754757,4fd3a1e58eb7c8105d8e933c,2011-11-21T15:55:37Z,"budget deficit",10
142397754759,54ce743c79881002ee7b46eb,2015-02-01T13:44:26Z,"budget deficit",10
142397754763,4fc1d31d45c1498b0d4b03dd,1933-09-19T00:00:00Z,"budget deficit",10
142397754765,515b544dfdc59278db00837c,2012-06-04T00:00:00Z,"budget deficit",10
142397755840,4fd1b23a8eb7c8105d6d53f5,1990-10-03T00:00:00Z,"budget deficit",11
142397755841,4fd194628eb7c8105d69f8e6,1990-10-10T00:00:00Z,"budget deficit",11
142397755842,547e78c47988107cec11b732,2008-02-27T00:00:00Z,"budget deficit",11
142397755843,5087244595e998af71186d86,2012-10-15T12:14:42Z,"budget deficit",11
142397755844,4fc0882545c1498b0d348851,1925-03-16T00:00:00Z,"budget deficit",11
142397755845,4fd1b1608eb7c8105d6d391e,1990-10-10T00:00:00Z,"budget deficit",11
142397755845,515b88bafdc59278db00c08b,2011-11-19T00:00:00Z,"budget deficit",11
142397755846,4fc06f0f45c1498b0d2d2b62,1919-04-11T00:00:00Z,"budget deficit",11
142397755847,515b880afdc59278db00bfc0,2011-11-22T00:00:00Z,"budget deficit",11
142397755848,4fd2b9f38eb7c8105d8affc4,2011-11-22T00:00:00Z,"budget deficit",11
142397756919,4fd1d03d8eb7c8105d7093eb,1997-05-03T00:00:00Z,"budget deficit",12
